MPG,CYL,ENG,WGT,VS
18,8,307,3504,Y
15,8,350,3693,Y
18,8,318,3436,Y
16,8,304,3433,Y
17,8,302,3449,Y
15,8,429,4341,Y
14,8,454,4354,Y
14,8,440,4312,Y
14,8,455,4425,Y
15,8,390,3850,Y
15,8,383,3563,Y
14,8,340,3609,Y
15,8,400,3761,Y
14,8,455,3086,Y
24,4,113,2372,Y
22,6,198,2833,Y
18,6,199,2774,Y
21,6,200,2587,N
27,4,97,2130,N
26,4,97,1835,N
25,4,110,2672,N
24,4,107,2430,N
25,4,104,2375,N
26,4,121,2234,N
21,6,199,2648,N
10,8,360,4615,N
10,8,307,4376,N
11,8,318,4382,N
9,8,304,4732,N
27,4,97,2130,N
28,4,140,2264,Y
25,25,25,25,Y
19,6,232,2634,Y
19,-3.024561404,-337.0175439,-1909.203509,Y
19,-3.189473684,-347.6052632,-2004.757895,Y
19,-3.354385965,-358.1929825,-2100.312281,Y
19,-3.519298246,-368.7807018,-2195.866667,Y
19,-3.684210526,-379.3684211,-2291.421053,Y
19,-3.849122807,-389.9561404,-2386.975439,Y
19,-4.014035088,-400.5438596,-2482.529825,N
19,-4.178947368,-411.1315789,-2578.084211,N
19,-4.343859649,-421.7192982,-2673.638596,N
19,-4.50877193,-432.3070175,-2769.192982,N
19,-4.673684211,-442.8947368,-2864.747368,N
19,-4.838596491,-453.4824561,-2960.301754,N
19,-5.003508772,-464.0701754,-3055.85614,N
